name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Croissant au jambon;;243;7,9;19,2;14,6;2,6;1,53;219;-;18,9;1,7;-;-;-;-;-;-;-;-;-;-;-;-;-;8,5;4,13;1,1;216;50;-;;;;;
Rouleau de printemps;;103;4,57;16,6;1,82;3,6;1,2;22,5;0,4;12,6;0,45;-;0,18;-;-;1,5;0,04;0,04;0,64;0,16;0,11;016;0,16;13;0,66;0,56;0,29;87;116;5;;;;;
Nem ou Pâté impérial;;216;6,48;21,1;11,2;3,02;2,54;25;0,9;16;0,62;0,5;0,82;-;-;0,5;0,11;0,057;1,4;0,25;0,12;23,1;0,22;17,2;2,9;5,08;1,52;160;609;4,38;;;;;
Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit;;187;12,2;8,48;11,5;0,72;0,59;32,8;1,03;21,5;0,9;0,51;4,95;-;-;2,93;0,057;0,12;2,9;0,6;0,19;16,6;0,67;7,75;2,77;3,02;1,41;183;565;9,35;;;;;
Bouchée à la reine, au poisson et fruits de mer;;206;6,72;13,4;13,8;2,43;1,05;70,1;1,2;18,8;0,78;0,77;1,12;-;-;0,9;0,068;0,11;1,14;0,38;0,079;10,5;1,25;10,9;7,41;4,07;1,13;144;451;4,95;;;;;
Feuilleté ou Friand jambon fromage;;290;8,46;25,7;16,7;3,65;1,9;115;0,43;14,6;0,77;1,05;2,1;-;-;0,95;0,099;0,1;0,78;0,29;0,078;7,29;0,29;22,1;10,8;4,12;1,29;126;512;2,29;;;;;
Beignet de viande, volaille ou poisson, fait maison, cru;;238;18,7;10;13,5;0,92;0,41;36,6;1,23;25,4;1,61;0,29;2,91;-;-;0,27;0,1;0,18;3,43;0,62;0,24;15,8;1,13;9,05;2,88;6,79;0,71;272;285;13,9;;;;;
Brick à l'oeuf, fait maison, cuit;;255;10,4;12,3;18,1;1,6;0,5;70,7;1,4;13,8;0,83;1,24;7;-;-;3,6;0,06;0,38;0,32;1,09;0,1;92;0,81;7,5;-;-;1,35;132;538;9,6;;;;;
Brick au boeuf;;342;10,4;33,5;17;3,2;6,8;-;5,2;29,8;1,53;0,28;6,6;-;-;3,1;0,07;0,15;1,58;0,48;0,16;23;0,62;-;-;-;3,76;221;1510;3,6;;;;;
Feuilleté salé (aliment moyen);;301;8,39;26,1;17,8;3,03;1,65;93,4;1,25;16,9;0,93;1,16;1,49;;;0,34;0,078;0,12;1,07;0,27;0,092;7,23;0,52;23,4;10,1;5,38;1,43;171;574;4,25;;;;;
Bouchée à la reine, garnie (aliment moyen);;249;6,42;18,4;16,3;2,52;1,35;55,1;0,81;15,4;0,66;0,45;1,21;;;0,58;0,079;0,097;0,97;0,39;0,062;8,95;0,72;14,6;8,53;5,14;1,2;157;475;7,48;;;;;
Nem ou Pâté impérial, au poulet, préemballé, cuit;;197;8,06;20,9;8,1;1,9;3,3;29;1;23;0,81;0,25;1,18;1,5;-;0,5;0,18;0,01;1,53;0,52;0,079;21,9;0,095;17,7;1,25;4,53;1,19;220;477;020;;;;;
Nem ou Pâté impérial, au porc, préemballé, cuit;;237;6,88;22,6;12,7;1,9;2,4;25;0,91;23;0,79;0,25;2,33;1,58;-;0,5;0,083;0,01;0,94;0,37;0,08;32,3;0,18;20,6;3,07;6,59;1,14;230;457;020;;;;;
Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit;;213;7,44;23,7;9,2;2,4;2,7;47;1,1;25;0,83;0,25;1,99;1,84;-;0,5;0,041;0,043;0,1;0,33;0,056;32,6;0,51;18,6;1,13;5,77;1,2;180;480;020;;;;;
