name;ingredients;nutrients.energy;nutrients.proteins;nutrients.carbohydrates;nutrients.lipids;nutrients.sugar;nutrients.dietaryFiber;nutrients.calcium;nutrients.iron;nutrients.magnesium;nutrients.zinc;nutrients.vitaminD;nutrients.vitaminE;nutrients.vitaminK1;nutrients.vitaminK2;nutrients.vitaminC;nutrients.vitaminB1;nutrients.vitaminB2;nutrients.vitaminB3;nutrients.vitaminB5;nutrients.vitaminB6;nutrients.vitaminB9;nutrients.vitaminB12;nutrients.starch;nutrients.saturatedFattyAcid;nutrients.monounsaturatedFattyAcid;nutrients.sodiumChlorideSalt;nutrients.potassium;nutrients.sodium;nutrients.solenium;image;weight;description;type;price
Crêpe ou Galette fourrée béchamel fromage, préemballée;;149;6,02;17,7;5,75;3,86;1,05;87,5;0,35;18,6;-;0,47;0,93;-;-;0,37;0,1;0,2;-;-;0,08;29,3;0,5;13,8;2,02;2,35;0,92;118;404;-;;;;;
Flammenkueche ou Tarte flambée aux lardons, préemballée;;30;8,81;31,8;14,8;4,15;1,7;52;0,6;19,4;0,8;0,5;1,4;-;-;0,8;0,19;0,1;1,75;0,43;0,21;20;0,44;26,3;6,27;5,41;1,64;230;654;05;;;;;
Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée;;159;8,3;16,6;6,3;2,7;1,2;35,3;0,6;12,3;-;0,48;0,94;-;-;1,23;0,15;0,17;-;-;0,1;30,5;0,26;10,7;1,5;2,22;0,95;86,6;260;-;;;;;
Tarte ou Tourte aux poireaux, préemballée;;243;5,76;21,6;14,3;2,34;2,48;95;0,6;14;0,66;0,25;1,28;14,6;-;0,5;0,074;0,11;0,11;0,36;0,06;87,1;0,45;16;7,72;4,54;0,96;130;381;020;;;;;
Tarte au saumon, préemballée;;215;8,53;21;10,5;1,63;1,4;59,2;0,63;17,7;0,42;2,59;1,47;-;-;1,83;0,07;0,14;-;-;0,17;20,1;0,73;19,3;6,3;3;0,84;162;333;10,3;;;;;
Tourte au riesling, préemballée;;251;10,2;23,7;12,6;2,25;1,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6,2;-;1,45;-;-;-;;;;;
Tarte à la tomate, préemballée;;218;5,17;19,3;12,8;4,2;2,9;21;0,77;16;0,28;-;0,62;3,61;-;5,2;0,05;0,025;0,44;0,28;0,091;40,9;0,071;13,9;7,67;3,39;0,8;280;318;020;;;;;
Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée;;209;12,7;15,2;9,8;1,1;4,5;240;0,96;52;1,8;0,25;0,41;1,49;-;0,9;0,19;0,17;1,1;0,75;0,11;38,1;1,04;9,8;6,02;2,59;1,12;190;445;020;;;;;
Tarte aux noix de Saint-Jacques, préemballée;;266;8,25;24,2;14,5;2,5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5,9;-;1,12;-;449;-;;;;;
Pastilla au poulet, préemballée;;218;12,3;14,1;12,2;3,85;1,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1,75;7,5;1,5;-;595;-;;;;;
Pizza aux lardons, oignons et fromage, préemballée;;255;11,2;27,7;10,6;3,7;2,2;192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;1,1;-;570;-;;;;;
Crêpe ou Galette aux noix de St Jacques, préemballée;;168;7,7;15,8;8;2,8;1,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,4;-;1,18;-;-;-;;;;;
Tarte ou quiche salée (aliment moyen);;267;8,11;22,7;15,6;3,14;1,76;90,6;0,64;17,4;0,7;0,98;1,35;;;1,38;0,11;0,13;0,63;;0,11;27;0,31;;7,83;5,16;1,21;187;479;6,01;;;;;
Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée;;172;5,5;18,5;7,7;3,16;3,4;82;0,43;14;0,53;0,25;1,88;0,8;-;0,5;0,068;0,15;0,5;0,75;0,027;31,7;0,21;15,3;2,48;2,16;0,76;180;304;020;;;;;
Tarte au maroilles ou Flamiche au maroilles, préemballée;;315;14,1;22,1;18,3;2,8;2,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12,8;-;1,66;-;-;-;;;;;
Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée;;206;8,5;14,3;12,4;2,4;1,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6,95;-;1,13;-;445;-;;;;;
Ficelle picarde, préemballée;;151;8,6;11,9;7,5;2,7;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,8;-;0,75;-;-;-;;;;;
Tarte épinard chèvre, préemballée;;244;7,08;22,2;13,6;3;2,05;79;0,77;19;0,56;0,25;0,54;7,14;-;0,5;0,07;0,12;0,2;0,22;0,054;62,5;0,2;18,3;7,34;4,14;1;180;393;020;;;;;
Tielle sétoise, préemballée;;306;8,15;30,9;16;5,05;2,95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2,8;4,21;1,55;-;610;-;;;;;
